,method,k_set,accuracy,mean_unfairness,max_unfairness,A_unfairness,B_unfairness,C_unfairness,runtime
0,ExpGrad.1,2,0.705748,-0.0437750180834136,-0.0766269969975375,-0.0766269969975375,-0.0525221146417002,-0.0090909053249764,0 days 00:02:18.534554
1,ExpGrad.01,2,0.599399,-0.003046644433064,-0.0058980824489769,-0.0058980824489769,-0.0038611342967986,0.0,0 days 00:03:02.145405
2,RedGrid25,2,0.714002,-0.0604091066056494,-0.1005663709458152,-0.1005663709458152,-0.0648076292589936,-0.0221324004357203,0 days 00:10:57.206516
3,RedGrid5,2,0.69654,-0.039701241891233,-0.0674675833069946,-0.063004764273898,-0.0674675833069946,-0.0009829474047098,0 days 00:11:07.190789
4,RedGrid75,2,0.69654,-0.039701241891233,-0.0674675833069946,-0.063004764273898,-0.0674675833069946,-0.0009829474047098,0 days 00:11:08.079128
5,ExpGrad.1,2,0.707392,-0.0491228127767989,-0.094751369941563,-0.094751369941563,-0.019016623637667,-0.028328004769895,0 days 00:01:46.248952
6,ExpGrad.01,2,0.608162,-0.0060117551348783,-0.017210639593825,-0.017210639593825,0.0,0.0,0 days 00:02:12.281281
7,RedGrid25,2,0.722958,-0.0965013059686182,-0.1177482407024261,-0.1177482407024261,-0.0889361517703766,-0.0825639024407757,0 days 00:08:10.173213
8,RedGrid5,2,0.682521,-0.0331176637762124,-0.0826022794958784,-0.0826022794958784,0.0,-0.0108734721678676,0 days 00:08:43.971386
9,RedGrid75,2,0.682521,-0.0331176637762124,-0.0826022794958784,-0.0826022794958784,0.0,-0.0108734721678676,0 days 00:08:46.210130
10,ExpGrad.1,0,0.707204,-0.0815768318619836,-0.0984115716045119,-0.0984115716045119,-0.0727408468369715,-0.0717075613460893,0 days 00:03:29.111964
11,ExpGrad.01,0,0.685703,-0.0133886283341126,-0.0174899131156919,-0.0174899131156919,-0.0125268682571975,-0.0102681340665552,0 days 00:07:38.026622
12,RedGrid25,0,0.694594,-0.0365125089879143,-0.0442105069757062,-0.0390922838086127,-0.0185564571605832,-0.0442105069757062,0 days 00:13:32.106621
13,RedGrid5,0,0.694594,-0.0365125089879143,-0.0442105069757062,-0.0390922838086127,-0.0185564571605832,-0.0442105069757062,0 days 00:13:48.446130
14,RedGrid75,0,0.694594,-0.0365125089879143,-0.0442105069757062,-0.0390922838086127,-0.0185564571605832,-0.0442105069757062,0 days 00:13:36.807862
15,ExpGrad.1,1,0.711035,-0.031625343814307,-0.1205133131117812,-0.1205133131117812,-0.0208528749532217,-0.0348357424619523,0 days 00:03:01.785025
16,ExpGrad.01,1,0.587315,-0.0028231208273034,-0.0189072575158841,-0.0189072575158841,-0.0049716068608436,-0.0011355347881688,0 days 00:03:20.111520
17,RedGrid25,1,0.701331,-0.0173359902950288,-0.1155617668744609,-0.1155617668744609,-0.0126845058750526,-0.0168685983162808,0 days 00:12:58.497086
