,method,k_set,accuracy,mean_unfairness,max_unfairness,A_unfairness,B_unfairness,C_unfairness,runtime
0,ExpGrad.1,2,0.721872,-0.0747776183228469,-0.107839131974636,-0.107839131974636,-0.0905557687332865,-0.0352407923912206,0 days 00:03:57.695239
1,ExpGrad.01,2,0.619897,-0.0089733477393608,-0.0102445627704025,-0.0081026190451113,-0.0102445627704025,-0.008905505950668,0 days 00:03:01.736975
2,RedGrid25,2,0.713563,-0.063812381236385,-0.1039774500130521,-0.1039774500130521,-0.0826686199165533,-0.0159858650222349,0 days 00:10:05.737367
3,RedGrid5,2,0.698948,-0.0467448243539441,-0.0899401110148802,-0.0899401110148802,-0.0598911124705644,0.0,0 days 00:10:05.863240
4,RedGrid75,2,0.670158,-0.0373629454037246,-0.07560256602406,-0.0460064857478645,-0.07560256602406,-0.0045948446352281,0 days 00:10:04.396654
5,ExpGrad.1,2,0.688329,-0.0490514909463378,-0.0886161406020484,-0.0886161406020484,-0.0196355452805463,-0.0331619370731701,0 days 00:02:18.976400
6,ExpGrad.01,2,0.624515,-0.0086085103555636,-0.0120884580589558,-0.0111077781198389,0.0,-0.0120884580589558,0 days 00:03:12.172159
7,RedGrid25,2,0.718901,-0.0807518591734029,-0.0943490338818308,-0.0943490338818308,-0.089874435171581,-0.0625169256282738,0 days 00:10:36.871877
8,RedGrid5,2,0.689322,-0.0613953453401114,-0.0717981331484672,-0.0670435195795412,-0.0717981331484672,-0.0494279946275268,0 days 00:10:34.017527
9,RedGrid75,2,0.660266,-0.0187725979883494,-0.0536620023483213,-0.0536620023483213,0.0,0.0,0 days 00:10:34.497724
10,ExpGrad.1,0,0.706838,-0.0804132202200684,-0.0983538771250664,-0.0983538771250664,-0.0713691750329404,-0.0696811089559561,0 days 00:02:48.709324
11,ExpGrad.01,0,0.683661,-0.0079351160096337,-0.0126038796503676,-0.0126038796503676,-0.0044585114140797,-0.0057613407166439,0 days 00:04:44.494752
12,RedGrid25,0,0.691126,-0.0197709007412817,-0.0261851776502034,-0.0261851776502034,-0.0028468432815905,-0.0234808781269191,0 days 00:12:30.336019
13,RedGrid5,0,0.691126,-0.0197709007412817,-0.0261851776502034,-0.0261851776502034,-0.0028468432815905,-0.0234808781269191,0 days 00:12:16.951371
14,RedGrid75,0,0.691126,-0.0197709007412817,-0.0261851776502034,-0.0261851776502034,-0.0028468432815905,-0.0234808781269191,0 days 00:12:31.354829
15,ExpGrad.1,1,0.707158,-0.0173918641727415,-0.1016118101847506,-0.1016118101847506,-0.0268727506185556,-0.0095465721992985,0 days 00:02:25.229202
16,ExpGrad.01,1,0.596983,-0.0037212087953704,-0.012239159036815,-0.012239159036815,-0.0047212987245167,-0.0029048904905437,0 days 00:05:52.736244
17,RedGrid25,1,0.700683,-0.0162478189338818,-0.1159034940765214,-0.1159034940765214,-0.0027291869746716,-0.0206847760632569,0 days 00:12:55.655649
18,RedGrid5,1,0.700683,-0.0162478189338818,-0.1159034940765214,-0.1159034940765214,-0.0027291869746716,-0.0206847760632569,0 days 00:12:55.127348
19,RedGrid75,1,0.682422,-0.0006897641422564,-0.0356016338046206,-0.0356016338046206,0.0,0.0,0 days 00:12:11.358700
20,ExpGrad.1,2,0.709062,-0.0509338226459602,-0.0834607342860289,-0.0834607342860289,-0.0426652756259816,-0.0274963462871047,0 days 00:04:35.188997
21,ExpGrad.01,2,0.616137,-0.0028811108337052,-0.0082631276212521,-0.0082631276212521,0.0,0.0,0 days 00:04:31.559748
22,RedGrid25,2,0.725025,-0.0791809497152037,-0.1125173804542712,-0.1125173804542712,-0.0726140703345555,-0.0539032963765616,0 days 00:14:08.814002
