,method,k_set,accuracy,mean_unfairness,max_unfairness,A_unfairness,B_unfairness,C_unfairness,runtime
0,ExpGrad.1,2,0.722202,-0.0783348215958956,-0.1123618351003135,-0.1123618351003135,-0.0613497897181156,-0.0593060737173293,0 days 00:03:17.786618
1,ExpGrad.01,2,0.622969,-0.0074900965700783,-0.0174994166855668,-0.0174994166855668,0.0,-0.0035658853097804,0 days 00:05:14.547753
2,RedGrid25,2,0.708052,-0.0624664822866499,-0.1104786268553249,-0.1104786268553249,-0.0073948189730024,-0.0564876260325152,0 days 00:14:31.770158
3,RedGrid5,2,0.693035,-0.0447244094648793,-0.0833555908696594,-0.0833555908696594,0.0,-0.0401908854849391,0 days 00:14:32.203422
4,RedGrid75,2,0.684584,-0.0279805109118294,-0.0731318872553737,-0.0731318872553737,0.0,-0.0063825148837163,0 days 00:14:03.861928
5,ExpGrad.1,2,0.693163,-0.0454615844524161,-0.0731874068068018,-0.0731874068068018,-0.0397300105014988,-0.0245159173033222,0 days 00:02:11.444926
6,ExpGrad.01,2,0.620653,-0.0039417554751611,-0.0113188773596809,-0.0113188773596809,0.0,0.0,0 days 00:04:29.549271
7,RedGrid25,2,0.727185,-0.0894121904361063,-0.1122958767778764,-0.1122958767778764,-0.0854391790724289,-0.0716131670527275,0 days 00:10:44.231245
8,RedGrid5,2,0.658043,-0.0164227886211566,-0.0471585646238581,-0.0471585646238581,0.0,0.0,0 days 00:10:45.874119
9,RedGrid75,2,0.658043,-0.0164227886211566,-0.0471585646238581,-0.0471585646238581,0.0,0.0,0 days 00:10:25.747822
10,ExpGrad.1,0,0.707025,-0.0813504130490625,-0.1001682139504267,-0.1001682139504267,-0.0724312907057486,-0.0697618752712208,0 days 00:03:13.016369
11,ExpGrad.01,0,0.689075,-0.0107555712607538,-0.0184852931472345,-0.0184852931472345,-0.0073038649107322,-0.0058783136244369,0 days 00:07:27.195191
12,RedGrid25,0,0.686517,-0.1231282846769511,-0.1541229312793031,-0.1541229312793031,-0.1018641500101705,-0.1076715661518777,0 days 00:11:29.589031
13,RedGrid5,0,0.686517,-0.1231282846769511,-0.1541229312793031,-0.1541229312793031,-0.1018641500101705,-0.1076715661518777,0 days 00:11:29.523233
14,RedGrid75,0,0.686517,-0.1231282846769511,-0.1541229312793031,-0.1541229312793031,-0.1018641500101705,-0.1076715661518777,0 days 00:11:29.600910
15,ExpGrad.1,1,0.712266,-0.0520243311600263,-0.1239030701313614,-0.1239030701313614,-0.0632323386445268,-0.0435645922797779,0 days 00:02:46.516393
16,ExpGrad.01,1,0.607725,-0.0007856173540309,-0.008235366223165,-0.008235366223165,-0.0017830651777634,0.0,0 days 00:07:28.741157
17,RedGrid25,1,0.707649,-0.0727020697678862,-0.134614081169634,-0.134614081169634,-0.0724718701084516,-0.0709042913896002,0 days 00:14:19.956406
18,RedGrid5,1,0.707649,-0.0727020697678862,-0.134614081169634,-0.134614081169634,-0.0724718701084516,-0.0709042913896002,0 days 00:14:18.220308
19,RedGrid75,1,0.707649,-0.0727020697678862,-0.134614081169634,-0.134614081169634,-0.0724718701084516,-0.0709042913896002,0 days 00:14:18.109161
20,ExpGrad.1,2,0.713928,-0.0589817785618114,-0.0904939663349852,-0.0904939663349852,-0.0600015021612043,-0.0302776716753815,0 days 00:02:26.786648
21,ExpGrad.01,2,0.633011,-0.0076415230009014,-0.0138936623110258,-0.0114860740539289,-0.0138936623110258,0.0,0 days 00:05:29.419672
