,method,k_set,accuracy,mean_unfairness,max_unfairness,A_unfairness,B_unfairness,C_unfairness,runtime
0,ExpGrad.1,2,0.694731,-0.0354858081381012,-0.0793811292460672,-0.0793811292460672,-0.0028012081459272,-0.0179059790685003,0 days 00:03:13.277993
1,ExpGrad.01,2,0.633366,-0.0073837763963979,-0.0172043170370723,-0.0172043170370723,-0.0003335141685621,-0.003276288225208,0 days 00:04:21.534181
2,RedGrid25,2,0.689071,-0.0416312488285978,-0.0709216732697069,-0.0709216732697069,0.0,-0.0430887638715559,0 days 00:12:06.644688
3,RedGrid5,2,0.663705,-0.0219923078657759,-0.0388638098031173,-0.0388638098031173,0.0,-0.0215094045196621,0 days 00:12:02.565637
4,RedGrid75,2,0.663705,-0.0219923078657759,-0.0388638098031173,-0.0388638098031173,0.0,-0.0215094045196621,0 days 00:12:56.310883
5,ExpGrad.1,2,0.690511,-0.0533740285798175,-0.0776718864955413,-0.0776718864955413,-0.0515191631202933,-0.0328490440916146,0 days 00:02:55.352885
6,ExpGrad.01,2,0.631481,-0.0074576162810125,-0.0159649809877173,-0.0159649809877173,-0.0044245802903803,-0.0018700627907911,0 days 00:04:05.702354
7,RedGrid25,2,0.719224,-0.0852279395150825,-0.0952068569370146,-0.0948330021518822,-0.0952068569370146,-0.0699290204751684,0 days 00:12:12.192655
8,RedGrid5,2,0.688817,-0.0610096381819636,-0.070088716612849,-0.0605164120435209,-0.070088716612849,-0.0553616453477857,0 days 00:12:36.237722
9,RedGrid75,2,0.649973,-0.0267215539933547,-0.0435966613737788,-0.0435966613737788,0.0,-0.0295264227046147,0 days 00:12:42.829172
10,ExpGrad.1,0,0.706925,-0.0815715744569081,-0.0990725737442151,-0.0990725737442151,-0.0727490842189828,-0.0710526715150378,0 days 00:03:48.494261
11,ExpGrad.01,0,0.685287,-0.0127618035719176,-0.0168331366474,-0.0168331366474,-0.0100659277771665,-0.0106706510196461,0 days 00:06:40.523023
12,RedGrid25,0,0.686047,-0.120590665462281,-0.1511748991638475,-0.1511748991638475,-0.097906573113932,-0.106227129967922,0 days 00:15:40.708814
13,RedGrid5,0,0.686047,-0.120590665462281,-0.1511748991638475,-0.1511748991638475,-0.097906573113932,-0.106227129967922,0 days 00:15:41.693470
14,RedGrid75,0,0.686047,-0.120590665462281,-0.1511748991638475,-0.1511748991638475,-0.097906573113932,-0.106227129967922,0 days 00:15:43.174162
15,ExpGrad.1,1,0.709537,-0.0150491108287828,-0.1043610923051608,-0.1043610923051608,-0.0056480153535701,-0.0174929582156965,0 days 00:03:22.023535
16,ExpGrad.01,1,0.597431,-0.0098608483036603,-0.0131257802885935,-0.0131257802885935,-0.0049117956129416,-0.0125003542967221,0 days 00:05:02.701298
17,RedGrid25,1,0.694126,-0.0430951030058386,-0.117834548139291,-0.117834548139291,0.0,-0.0646471898929081,0 days 00:14:02.566628
18,RedGrid5,1,0.684666,-0.0009406474423236,-0.0482023008250491,-0.0482023008250491,0.0,0.0,0 days 00:14:01.958483
19,RedGrid75,1,0.684666,-0.0009406474423236,-0.0482023008250491,-0.0482023008250491,0.0,0.0,0 days 00:13:58.481266
20,ExpGrad.1,2,0.698277,-0.0412938203899987,-0.0715296957193779,-0.0715296957193779,-0.0424746739754596,-0.0130721633918692,0 days 00:02:48.514609
21,ExpGrad.01,2,0.614938,-0.0046164222320181,-0.006339975951804,-0.0044756474691132,-0.006339975951804,-0.0035929816703932,0 days 00:03:41.225182
22,RedGrid25,2,0.698034,-0.0517479518413385,-0.0876987103805829,-0.0876987103805829,0.0,-0.0536924546873047,0 days 00:10:39.631015
23,RedGrid5,2,0.657042,-0.0137179467207628,-0.0389358820481963,-0.0389358820481963,0.0,0.0,0 days 00:10:40.899287
24,RedGrid75,2,0.657042,-0.0137179467207628,-0.0389358820481963,-0.0389358820481963,0.0,0.0,0 days 00:10:37.456856
25,ExpGrad.1,1,0.711722,-0.0339957031138768,-0.1179936385907968,-0.1179936385907968,-0.0275653202576815,-0.0349527321767517,0 days 00:02:31.254334
26,ExpGrad.01,1,0.614703,-0.0056537269671049,-0.0320085648557536,-0.0320085648557536,0.0,-0.0079601084481552,0 days 00:06:05.436502
27,RedGrid25,1,0.69926,-0.0043148115066485,-0.1087756911482347,-0.1087756911482347,0.0,-0.0034735335200422,0 days 00:14:12.886811
28,RedGrid5,1,0.69926,-0.0043148115066485,-0.1087756911482347,-0.1087756911482347,0.0,-0.0034735335200422,0 days 00:13:39.118639
29,RedGrid75,1,0.69926,-0.0043148115066485,-0.1087756911482347,-0.1087756911482347,0.0,-0.0034735335200422,0 days 00:14:02.136585
30,ExpGrad.1,2,0.71243,-0.0579473645302996,-0.081604110587738,-0.081604110587738,-0.0792763722776248,-0.0221579258456157,0 days 00:02:28.264720
31,ExpGrad.01,2,0.622515,-0.0061089066511078,-0.0135922453535544,-0.0135922453535544,-0.0051731003554069,0.0,0 days 00:03:44.555810
32,RedGrid25,2,0.70516,-0.0531823672811537,-0.0765751650118639,-0.0765751650118639,-0.0671796667660711,-0.0226049548039209,0 days 00:11:32.016318
33,RedGrid5,2,0.70516,-0.0531823672811537,-0.0765751650118639,-0.0765751650118639,-0.0671796667660711,-0.0226049548039209,0 days 00:11:45.324272
34,RedGrid75,2,0.684649,-0.03519451240306,-0.0534568873252865,-0.0534568873252865,-0.0152744629246061,-0.0322515738252143,0 days 00:11:36.794081
35,ExpGrad.1,0,0.706686,-0.0791204310858192,-0.0973607969823018,-0.0973607969823018,-0.0673788892776037,-0.0696618278872133,0 days 00:04:49.786992
36,ExpGrad.01,0,0.686066,-0.0132558069697662,-0.017621200429961,-0.017621200429961,-0.0125842993376777,-0.0098095516365847,0 days 00:08:26.647747
37,RedGrid25,0,0.68413,-0.0765440426995069,-0.1082392566883932,-0.1082392566883932,0.0,-0.0911532572512229,0 days 00:15:58.335900
38,RedGrid5,0,0.681699,-0.0783290827118174,-0.1127468795370729,-0.1127468795370729,0.0,-0.0915444538942669,0 days 00:16:03.335181
39,RedGrid75,0,0.675309,-0.0377574825111555,-0.0581548455143592,-0.0383082101590004,0.0,-0.0581548455143592,0 days 00:15:52.410306
40,ExpGrad.1,0,0.706398,-0.0705262619646285,-0.0895917258589579,-0.0895917258589579,-0.0546848329587329,-0.0625743360908246,0 days 00:03:33.873773
41,ExpGrad.01,0,0.688201,-0.0112782896770744,-0.0164935826990362,-0.0164935826990362,-0.0071804842510976,-0.0089728198633493,0 days 00:05:29.453523
42,RedGrid25,0,0.694723,-0.0347120344086534,-0.041906754220686,-0.037836302127442,-0.0167470729585826,-0.041906754220686,0 days 00:12:44.363219
43,RedGrid5,0,0.694723,-0.0347120344086534,-0.041906754220686,-0.037836302127442,-0.0167470729585826,-0.041906754220686,0 days 00:12:42.889576
44,RedGrid75,0,0.694723,-0.0347120344086534,-0.041906754220686,-0.037836302127442,-0.0167470729585826,-0.041906754220686,0 days 00:12:45.257917
45,ExpGrad.1,1,0.710985,-0.0374155250059702,-0.1136003919950531,-0.1136003919950531,-0.0447923684093753,-0.03091824176282,0 days 00:01:56.476570
46,ExpGrad.01,1,0.586593,-0.0020282907750793,-0.0075265689777728,-0.0075265689777728,0.0,-0.0029820287656622,0 days 00:02:45.220267
47,RedGrid25,1,0.70476,-0.0657264284592588,-0.1400906102488127,-0.1400906102488127,-0.0636892786337609,-0.0645166502581899,0 days 00:08:22.504029
48,RedGrid5,1,0.70476,-0.0657264284592588,-0.1400906102488127,-0.1400906102488127,-0.0636892786337609,-0.0645166502581899,0 days 00:08:22.352534
49,RedGrid75,1,0.70476,-0.0657264284592588,-0.1400906102488127,-0.1400906102488127,-0.0636892786337609,-0.0645166502581899,0 days 00:08:22.704978
50,ExpGrad.1,2,0.724738,-0.0779583682910768,-0.1091422432135869,-0.1091422432135869,-0.0810048211796979,-0.048152804201423,0 days 00:02:24.335023
51,ExpGrad.01,2,0.621743,-0.0106242904820207,-0.0206041388088114,-0.0206041388088114,0.0,-0.0088327295916704,0 days 00:03:27.759738
52,RedGrid25,2,0.730501,-0.0973189269547315,-0.1216358999019205,-0.1216358999019205,-0.105940006797627,-0.0699053750719953,0 days 00:12:20.282510
53,RedGrid5,2,0.702209,-0.0538039774290431,-0.0985443378545308,-0.0985443378545308,0.0,-0.0498962800911982,0 days 00:11:01.778999
54,RedGrid75,2,0.641086,-0.0225278884066238,-0.036401098978343,-0.0238453281311182,0.0,-0.036401098978343,0 days 00:10:55.382922
55,ExpGrad.1,2,0.699952,-0.0444209314068089,-0.0763479279539894,-0.0763479279539894,-0.0483303702761624,-0.0138572610632937,0 days 00:03:14.747733
56,ExpGrad.01,2,0.608542,-0.0020634903058441,-0.0059687434389344,-0.0059687434389344,0.0,0.0,0 days 00:05:59.771700
57,RedGrid25,2,0.726825,-0.0917952205606771,-0.1147676157971105,-0.1147676157971105,-0.1001369414729295,-0.0661602504518736,0 days 00:11:55.902609
58,RedGrid5,2,0.669018,-0.0269495568510553,-0.0423032658925713,-0.0353030031695565,-0.0423032658925713,-0.0095086120146309,0 days 00:11:43.365638
59,RedGrid75,2,0.630968,-0.0037250455067584,-0.0107748705507491,-0.0107748705507491,0.0,0.0,0 days 00:10:53.464839
60,ExpGrad.1,1,0.710914,-0.0393773445457023,-0.1123287953508539,-0.1123287953508539,-0.0502722478010948,-0.0310585431771824,0 days 00:03:38.985486
61,ExpGrad.01,1,0.596868,-0.0003370907087327,-0.0171460519046758,-0.0171460519046758,0.0,0.0,0 days 00:02:58.546330
62,RedGrid25,1,0.708097,-0.069883192782505,-0.1369686622580518,-0.1369686622580518,-0.0722609515234252,-0.0664723688386061,0 days 00:12:13.572004
63,RedGrid5,1,0.708097,-0.069883192782505,-0.1369686622580518,-0.1369686622580518,-0.0722609515234252,-0.0664723688386061,0 days 00:12:41.529692
64,RedGrid75,1,0.68376,-0.0008555986358903,-0.0435198545688074,-0.0435198545688074,0.0,0.0,0 days 00:11:54.561656
65,ExpGrad.1,0,0.706044,-0.0853767574064428,-0.1036855351567758,-0.1036855351567758,-0.0758355763855196,-0.0745701528249728,0 days 00:04:22.982800
66,ExpGrad.01,0,0.684103,-0.0119632725926362,-0.017223103216584,-0.017223103216584,-0.0064583724467154,-0.0103871764723864,0 days 00:09:11.444861
67,RedGrid25,0,0.684785,-0.126008777218333,-0.1567930338661558,-0.1567930338661558,-0.1037036293242703,-0.1113020118850348,0 days 00:16:39.751294
68,RedGrid5,0,0.684785,-0.126008777218333,-0.1567930338661558,-0.1567930338661558,-0.1037036293242703,-0.1113020118850348,0 days 00:12:55.870204
69,RedGrid75,0,0.684785,-0.126008777218333,-0.1567930338661558,-0.1567930338661558,-0.1037036293242703,-0.1113020118850348,0 days 00:16:32.024523
70,ExpGrad.1,0,0.706946,-0.080109823764491,-0.0982941764819427,-0.0982941764819427,-0.0712115171639897,-0.0690869638857408,0 days 00:03:40.638943
71,ExpGrad.01,0,0.684845,-0.0096617226265847,-0.0147434612082977,-0.0147434612082977,-0.0052741463417382,-0.0076310116874234,0 days 00:07:51.987962
72,RedGrid25,0,0.683603,-0.1157033272686941,-0.1512221742348907,-0.1512221742348907,-0.0963063115263895,-0.0952861873817795,0 days 00:13:15.762506
73,RedGrid5,0,0.683603,-0.1157033272686941,-0.1512221742348907,-0.1512221742348907,-0.0963063115263895,-0.0952861873817795,0 days 00:13:09.434754
74,RedGrid75,0,0.683603,-0.1157033272686941,-0.1512221742348907,-0.1512221742348907,-0.0963063115263895,-0.0952861873817795,0 days 00:12:49.604385
75,ExpGrad.1,2,0.717824,-0.0620832066010463,-0.0945947836290697,-0.0945947836290697,-0.037873164309542,-0.0494636058530653,0 days 00:02:47.587075
76,ExpGrad.01,2,0.619576,-0.005184803953918,-0.0111615828924059,-0.0111615828924059,0.0,-0.0033568448693529,0 days 00:04:19.513845
77,RedGrid25,2,0.714773,-0.0616373328678777,-0.103415611469685,-0.103415611469685,-0.070754181349124,-0.0184631690794925,0 days 00:11:19.006880
78,RedGrid5,2,0.698177,-0.0442406308620732,-0.0848572935822635,-0.0848572935822635,0.0,-0.0378535024051177,0 days 00:10:49.483594
79,RedGrid75,2,0.681948,-0.0285684515865484,-0.0717470073565396,-0.0717470073565396,0.0,-0.0094060668600439,0 days 00:10:53.717543
80,ExpGrad.1,0,0.707131,-0.0804372332620978,-0.0983044992362258,-0.0983044992362258,-0.0711103085146068,-0.0699314772407079,0 days 00:03:12.902074
81,ExpGrad.01,0,0.684965,-0.0107556565522544,-0.0159679067843242,-0.0159679067843242,-0.0105916807989964,-0.006272630337692,0 days 00:06:14.505305
82,RedGrid25,0,0.684051,-0.1125227810056834,-0.1475335682515434,-0.1475335682515434,-0.0940879211403761,-0.0920249155204028,0 days 00:13:57.720252
83,RedGrid5,0,0.684051,-0.1125227810056834,-0.1475335682515434,-0.1475335682515434,-0.0940879211403761,-0.0920249155204028,0 days 00:14:06.222308
84,RedGrid75,0,0.684051,-0.1125227810056834,-0.1475335682515434,-0.1475335682515434,-0.0940879211403761,-0.0920249155204028,0 days 00:14:06.346233
85,ExpGrad.1,0,0.706077,-0.077655052065609,-0.0971659821056343,-0.0971659821056343,-0.0643050983046298,-0.0679146429075564,0 days 00:03:28.074811
86,ExpGrad.01,0,0.685869,-0.0139910371416868,-0.0205299194524949,-0.0205299194524949,-0.0092604764566167,-0.0108682801321997,0 days 00:07:03.000483
87,RedGrid25,0,0.695072,-0.0593421740549639,-0.080932604275387,-0.0552261692493123,-0.080932604275387,-0.0510285592985015,0 days 00:12:44.736156
88,RedGrid5,0,0.695072,-0.0593421740549639,-0.080932604275387,-0.0552261692493123,-0.080932604275387,-0.0510285592985015,0 days 00:12:12.400045
89,RedGrid75,0,0.695072,-0.0593421740549639,-0.080932604275387,-0.0552261692493123,-0.080932604275387,-0.0510285592985015,0 days 00:12:41.255919
90,ExpGrad.1,2,0.676727,-0.0208221707683348,-0.0589776302978736,-0.0589776302978736,0.0,-0.0001554730833195,0 days 00:02:57.135577
91,ExpGrad.01,2,0.608458,-0.0075910463324062,-0.0166372445246301,-0.0166372445246301,-0.0066650003976732,0.0,0 days 00:05:12.037190
92,RedGrid25,2,0.716853,-0.1048569183487815,-0.1548667880497599,-0.119303570912736,-0.1548667880497599,-0.0581841001735334,0 days 00:13:25.462493
93,RedGrid5,2,0.716853,-0.1048569183487815,-0.1548667880497599,-0.119303570912736,-0.1548667880497599,-0.0581841001735334,0 days 00:13:30.807055
94,RedGrid75,2,0.646898,-0.0106411707435259,-0.0302280400405915,-0.0302280400405915,0.0,0.0,0 days 00:13:19.642228
95,ExpGrad.1,0,0.706287,-0.083569749856962,-0.1009072394223387,-0.1009072394223387,-0.0743360616587999,-0.0734367298215908,0 days 00:03:24.007365
