,l1,l2,l3,alpha,misspec,k_set,accuracy,mean_unfairness,mean_unfairness_unwt,max_unfairness,A_unfairness,B_unfairness,C_unfairness,Score,group_synth,n_iter,runtime
0,0.0161108972853083,0.038238941949143,0.0706935326292044,0.1,0,2,0.730809,-0.0864607045950724,-0.0866904875968902,-0.114369439546243,-0.114369439546243,-0.0794781840711809,-0.0662238391732467,-0.096310058903801,weighted,60,-1 days +23:28:39.527464
1,0.0161108972853083,0.038238941949143,0.0706935326292044,0.1,0,2,0.730809,-0.0864607045950724,-0.0866904875968902,-0.114369439546243,-0.114369439546243,-0.0794781840711809,-0.0662238391732467,-0.0961043104635665,unweighted,60,-1 days +23:28:39.527464
2,0.1048888937053684,0.0037569035882796,0.0047578613520994,0.1,0,2,0.730919,-0.089711838985789,-0.0901633094735213,-0.1120889368834416,-0.1120889368834416,-0.0865841501497876,-0.0718168413873348,-0.0985903149343309,max,60,-1 days +23:28:39.527464
3,0.0042151338176586,0.1865605030294777,0.187245595853214,0.2,0,2,0.724836,-0.0704901118463126,-0.0692199017083489,-0.1065677512857526,-0.1065677512857526,-0.0469727556767487,-0.0541191981625452,-0.1768646219794994,weighted,60,-1 days +23:28:39.527464
4,0.0042151338176586,0.1865605030294777,0.187245595853214,0.2,0,2,0.724836,-0.0704901118463126,-0.0692199017083489,-0.1065677512857526,-0.1065677512857526,-0.0469727556767487,-0.0541191981625452,-0.1733361145847755,unweighted,60,-1 days +23:28:39.527464
5,0.2134935218671529,0.0337606244661695,0.0283459240620935,0.2,0,2,0.729801,-0.0845046025141286,-0.0846312412556529,-0.1075517826266674,-0.1075517826266674,-0.0781548081220216,-0.0681871330182697,-0.1923270592528978,max,60,-1 days +23:28:39.527464
6,0.0010675300050721,0.3716652112114672,1.1479612284641465,0.3,0,2,0.687375,-0.0274133874261639,-0.0260542127876601,-0.0729095966366526,-0.0729095966366526,0.0,-0.0052530417263279,-0.2229684598785157,weighted,60,-1 days +23:28:39.527464
7,0.0010675300050721,0.3716652112114672,1.1479612284641465,0.3,0,2,0.687375,-0.0274133874261639,-0.0260542127876601,-0.0729095966366526,-0.0729095966366526,0.0,-0.0052530417263279,-0.2180670796124501,unweighted,60,-1 days +23:28:39.527464
8,0.7591236349017949,0.0365096465872585,0.0478913056494408,0.3,0,2,0.711097,-0.0652190285538641,-0.0653283671819596,-0.0819087860870502,-0.0819087860870502,-0.0607838177806302,-0.0532924976781984,-0.2751546545822699,max,60,-1 days +23:28:39.527464
9,0.0010675300050721,0.3716652112114672,1.1479612284641465,0.4,0,2,0.687375,-0.0274133874261639,-0.0260542127876601,-0.0729095966366526,-0.0729095966366526,0.0,-0.0052530417263279,-0.2342186660652894,weighted,60,-1 days +23:28:39.527464
10,0.0010675300050721,0.3716652112114672,1.1479612284641465,0.4,0,2,0.687375,-0.0274133874261639,-0.0260542127876601,-0.0729095966366526,-0.0729095966366526,0.0,-0.0052530417263279,-0.227683492377202,unweighted,60,-1 days +23:28:39.527464
