,method,k_set,accuracy,mean_unfairness,max_unfairness,A_unfairness,B_unfairness,C_unfairness,runtime
0,ExpGrad.1,2,0.711932,-0.0551108714963629,-0.097836033521523,-0.097836033521523,-0.0178098984362558,-0.0417845701744113,0 days 00:01:59.416724
1,ExpGrad.01,2,0.627025,-0.0065716902873194,-0.0169860429755939,-0.0169860429755939,-0.0024780413793391,0.0,0 days 00:03:09.676794
2,RedGrid25,2,0.720432,-0.0834346632771075,-0.1063879070253273,-0.1063879070253273,-0.0745291031562315,-0.0688729639859386,0 days 00:11:23.984574
3,RedGrid5,2,0.685637,-0.0336383429402502,-0.079011811718598,-0.079011811718598,0.0,-0.015513612374867,0 days 00:11:28.655622
4,RedGrid75,2,0.685637,-0.0336383429402502,-0.079011811718598,-0.079011811718598,0.0,-0.015513612374867,0 days 00:11:24.172966
5,ExpGrad.1,2,0.704933,-0.0524503267345196,-0.0837457697054619,-0.0837457697054619,-0.0499302755337264,-0.0265232334250868,0 days 00:03:26.629087
6,ExpGrad.01,2,0.623009,-0.0115644186540287,-0.0135557314726698,-0.0135557314726698,-0.0122120527722084,-0.0093750037677468,0 days 00:05:51.201828
7,RedGrid25,2,0.730988,-0.1015490668789147,-0.1240121233290546,-0.1240121233290546,-0.1066373103945108,-0.0783324193649305,0 days 00:13:54.032289
8,RedGrid5,2,0.685706,-0.0457953871496758,-0.0795166280017183,-0.0795166280017183,0.0,-0.0466336141088066,0 days 00:13:53.357351
9,RedGrid75,2,0.685706,-0.0457953871496758,-0.0795166280017183,-0.0795166280017183,0.0,-0.0466336141088066,0 days 00:13:45.845466
10,ExpGrad.1,0,0.707012,-0.0820603292282459,-0.0996493197052745,-0.0996493197052745,-0.0735377880361461,-0.0713241969925203,0 days 00:03:40.619314
11,ExpGrad.01,0,0.688334,-0.01068998391117,-0.0165321828221988,-0.0165321828221988,-0.0089386735445499,-0.0065262558955623,0 days 00:08:30.988820
12,RedGrid25,0,0.68218,-0.1146857943022992,-0.1487730847321647,-0.1487730847321647,-0.0976986565968457,-0.0941398186445537,0 days 00:12:24.593744
13,RedGrid5,0,0.68218,-0.1146857943022992,-0.1487730847321647,-0.1487730847321647,-0.0976986565968457,-0.0941398186445537,0 days 00:12:36.399312
14,RedGrid75,0,0.68218,-0.1146857943022992,-0.1487730847321647,-0.1487730847321647,-0.0976986565968457,-0.0941398186445537,0 days 00:12:32.800468
15,ExpGrad.1,1,0.711901,-0.043962804514612,-0.1195238710817812,-0.1195238710817812,-0.0519205142521944,-0.0372106527669873,0 days 00:03:47.265455
16,ExpGrad.01,1,0.589649,-0.0001650215184649,-0.0084614573660288,-0.0084614573660288,0.0,0.0,0 days 00:03:27.370862
17,RedGrid25,1,0.707448,-0.0659792486261911,-0.1416106282950205,-0.1416106282950205,-0.0660654687461441,-0.0635923691429393,0 days 00:14:55.208425
18,RedGrid5,1,0.707448,-0.0659792486261911,-0.1416106282950205,-0.1416106282950205,-0.0660654687461441,-0.0635923691429393,0 days 00:14:53.559447
19,RedGrid75,1,0.707448,-0.0659792486261911,-0.1416106282950205,-0.1416106282950205,-0.0660654687461441,-0.0635923691429393,0 days 00:14:50.775857
20,ExpGrad.1,2,0.71772,-0.0704352635865854,-0.0975132689533936,-0.0975132689533936,-0.0893968813870273,-0.034105758676034,0 days 00:02:57.162145
21,ExpGrad.01,2,0.613913,-0.0039897427333993,-0.0095345532921,-0.0095345532921,-0.0003753462529665,-0.0015311717117156,0 days 00:02:42.661272
22,RedGrid25,2,0.717719,-0.0721172135861231,-0.1100157769876573,-0.1100157769876573,-0.0927628826556739,-0.0251852339428685,0 days 00:09:22.757723
23,RedGrid5,2,0.703076,-0.0529380461443567,-0.0768672405480028,-0.0768672405480028,-0.0734557387252307,-0.0183345592337793,0 days 00:09:04.648345
24,RedGrid75,2,0.635812,-0.0226843663349633,-0.0614498370592342,-0.0191826748011114,-0.0614498370592342,0.0,0 days 00:09:17.959610
25,ExpGrad.1,1,0.711178,-0.0417838530703004,-0.1235366482440576,-0.1235366482440576,-0.0466057194730503,-0.0365861180533579,0 days 00:02:24.366236
26,ExpGrad.01,1,0.603181,-0.0003969159308839,-0.0202752756542652,-0.0202752756542652,0.0,0.0,0 days 00:03:01.826953
27,RedGrid25,1,0.707198,-0.0716277448589625,-0.1457259892148576,-0.1457259892148576,-0.0728504642232333,-0.0686554671533417,0 days 00:12:09.589716
28,RedGrid5,1,0.707198,-0.0716277448589625,-0.1457259892148576,-0.1457259892148576,-0.0728504642232333,-0.0686554671533417,0 days 00:12:10.604880
29,RedGrid75,1,0.683107,-0.0009985654035881,-0.0510087583823442,-0.0510087583823442,0.0,0.0,0 days 00:12:07.081872
30,ExpGrad.1,2,0.70308,-0.052913791920127,-0.0843751300484474,-0.0843751300484474,-0.0208941415149097,-0.0460309870442879,0 days 00:03:30.861580
31,ExpGrad.01,2,0.619516,-0.0038326084165346,-0.0109691613427039,-0.0109691613427039,0.0,0.0,0 days 00:05:44.973990
32,RedGrid25,2,0.721974,-0.0936709233811105,-0.1239937748410908,-0.1239937748410908,-0.0874623718142174,-0.070715188419049,0 days 00:14:24.214191
33,RedGrid5,2,0.659752,-0.0133311838822084,-0.0381546693532068,-0.0381546693532068,0.0,0.0,0 days 00:14:09.172108
34,RedGrid75,2,0.659752,-0.0133311838822084,-0.0381546693532068,-0.0381546693532068,0.0,0.0,0 days 00:14:12.037295
35,ExpGrad.1,0,0.70622,-0.0760324223346282,-0.0940173010448438,-0.0940173010448438,-0.0640733000521518,-0.0668932615965804,0 days 00:04:02.614018
36,ExpGrad.01,0,0.687839,-0.0112042267340122,-0.0179407515347229,-0.0179407515347229,-0.0068190225322273,-0.0077288003500221,0 days 00:08:01.712904
37,RedGrid25,0,0.694372,-0.037582593015566,-0.0449831687713166,-0.0399541802642523,-0.0204651898550374,-0.0449831687713166,0 days 00:16:49.833727
38,RedGrid5,0,0.694372,-0.037582593015566,-0.0449831687713166,-0.0399541802642523,-0.0204651898550374,-0.0449831687713166,0 days 00:16:47.169950
39,RedGrid75,0,0.694372,-0.037582593015566,-0.0449831687713166,-0.0399541802642523,-0.0204651898550374,-0.0449831687713166,0 days 00:16:37.046810
40,ExpGrad.1,0,0.706271,-0.0822273445419731,-0.0994171445996541,-0.0994171445996541,-0.0726582453919667,-0.0724395269580429,0 days 00:03:29.958118
