method,k_set,accuracy,sensi,speci,mean_unfairness,max_unfairness,A_unfairness,B_unfairness,C_unfairness,runtime,Intercept,min_egfr,mean_diastolic,mean_systolic,max_ha1c,mean_ha1c,max_bili,mean_bili,female,age,htn_emerg,dm2,kidstone,obstruction,glomerulonephritis,proteinuria,pyelonephritis,mean_ha1c_missing,mean_bili_missing,min_egfr_missing
ExpGrad_1,0,0.9640949554896142,0.1463768115942029,0.999009900990099,-0.03638430893847953,-0.1228776751164811,-0.02710221215351813,-0.1228776751164811,-0.0203798284325879,0,-4.222956059500243,-3.6987576496090986,-0.37376410776143093,0.32561026115367986,0.2171268524300482,-0.5585299855201077,-0.08575422750395069,-0.06387708668206774,-0.10258743603867262,-0.3539086474979453,0.0471329130439612,0.22235906899014088,-0.10643854624865362,-0.022660498152472393,0.01783542264208835,0.04978699861765267,0.02965574724438578,-0.25342992764483313,-0.16287488794748564,-2.311202482543193
ExpGrad_01,0,0.9275370919881306,0.13478260869565217,0.9613861386138614,-0.0203877279951447,-0.101555713496012,-0.013592750533049036,-0.101555713496012,0.0,0,-2.089745477018261,-1.9188607401955586,-0.2671863191928274,0.1202632867863774,0.6284695295047085,-1.7372294152025018,-1.24252867204115,0.12664317762217145,0.08859512787477276,0.08255393560596984,-0.2550224831699302,0.01534223295970403,0.055464113839329886,-0.18975398392217857,-0.3109088394080011,-0.3000583127755663,0.055807640526803176,-0.9115043788044077,-0.1808258603114115,-0.789694161561528
Grid25,0,0.3227299703264095,0.9014492753623189,0.298019801980198,-0.013096868376614062,-0.11561241411987677,0.0,-0.11561241411987677,0.0,0,-1.480399563885436,0.025437405440130047,0.06569169627510232,-0.043001078738685854,-0.6471023172621608,0.10828603085247185,-0.45251538474295144,0.15839573065763266,0.014296053982036871,-0.009135551407790116,-0.00035709558971569005,-0.05723739973840028,-0.21622350323858436,-0.039341411081912296,-0.21267498205743715,0.03399611971639097,-0.5732257868477776,-0.15760312105799526,-0.5448705126914904,
Grid50,0,0.105459940652819,0.9507246376811594,0.06936881188118812,-0.010189597015631657,-0.015591684434968056,-0.015591684434968056,0.0,0.0,0,-0.3003817265280894,-0.24755475692731468,0.1876735370669763,-0.4442378935935064,0.19328981919913346,-3.4613735439091857,1.9242981315658623,-0.08630843876679714,-0.09013182365279739,-0.00022064232014619745,0.23238492397177077,0.044842050038505124,-0.22845770765242598,-0.05791542406555326,0.10147727988824143,-0.06901823074264087,0.1288720817371343,-0.1388231724285021,-0.4175983812195705,
Grid75,0,0.105459940652819,0.9507246376811594,0.06936881188118812,-0.010189597015631657,-0.015591684434968056,-0.015591684434968056,0.0,0.0,0,-0.3003817265280894,-0.24755475692731468,0.1876735370669763,-0.4442378935935064,0.19328981919913346,-3.4613735439091857,1.9242981315658623,-0.08630843876679714,-0.09013182365279739,-0.00022064232014619745,0.23238492397177077,0.044842050038505124,-0.22845770765242598,-0.05791542406555326,0.10147727988824143,-0.06901823074264087,0.1288720817371343,-0.1388231724285021,-0.4175983812195705,
