,method,k_set,accuracy,mean_unfairness,max_unfairness,A_unfairness,B_unfairness,C_unfairness,runtime
0,ExpGrad.1,2,0.723832,-0.0773715744409071,-0.1029283368252585,-0.1029283368252585,-0.0634106968552145,-0.0645401746233054,0 days 00:03:57.655240
1,ExpGrad.01,2,0.630681,-0.0102604868938217,-0.012466163432582,-0.012466163432582,-0.0120161985042019,-0.0071774001869461,0 days 00:04:17.767056
2,RedGrid25,2,0.711975,-0.0552286097245242,-0.0929458943541666,-0.0929458943541666,-0.0693826441379356,-0.0130971053837334,0 days 00:14:09.482002
3,RedGrid5,2,0.678183,-0.0326316105419405,-0.0525937633097409,-0.0525937633097409,0.0,-0.0371079263196859,0 days 00:16:09.234500
4,RedGrid75,2,0.678183,-0.0326316105419405,-0.0525937633097409,-0.0525937633097409,0.0,-0.0371079263196859,0 days 00:14:56.870297
5,ExpGrad.1,2,0.710305,-0.049465236333571,-0.0783988510884777,-0.0783988510884777,-0.0340028038547939,-0.0339218113069011,0 days 00:02:01.132056
6,ExpGrad.01,2,0.626482,-0.0065632857692147,-0.0087216908583863,-0.0056512525897753,-0.0087216908583863,-0.0059279103931429,0 days 00:02:24.083532
7,RedGrid25,2,0.724237,-0.0736752431596257,-0.0986301256745272,-0.0986301256745272,-0.0733383364884794,-0.0515149627232708,0 days 00:10:54.135838
8,RedGrid5,2,0.692483,-0.0352650574472792,-0.0721995796471349,-0.0721995796471349,0.0,-0.02587993707941,0 days 00:10:54.929812
9,RedGrid75,2,0.692483,-0.0352650574472792,-0.0721995796471349,-0.0721995796471349,0.0,-0.02587993707941,0 days 00:10:53.286029
10,ExpGrad.1,0,0.706451,-0.0831117421892175,-0.1003920663770184,-0.1003920663770184,-0.0743469375632236,-0.0727739749831982,0 days 00:03:19.519522
11,ExpGrad.01,0,0.684828,-0.0128647625844032,-0.0174708447033495,-0.0174708447033495,-0.0089274982261973,-0.0109934459943273,0 days 00:05:58.385117
12,RedGrid25,0,0.682528,-0.1166717534318221,-0.1505490686212142,-0.1505490686212142,-0.0955578227250156,-0.0985760368214291,0 days 00:12:22.561620
13,RedGrid5,0,0.682528,-0.1166717534318221,-0.1505490686212142,-0.1505490686212142,-0.0955578227250156,-0.0985760368214291,0 days 00:12:25.144864
14,RedGrid75,0,0.682528,-0.1166717534318221,-0.1505490686212142,-0.1505490686212142,-0.0955578227250156,-0.0985760368214291,0 days 00:12:22.084051
15,ExpGrad.1,1,0.709968,-0.0271457136877749,-0.1064417490830613,-0.1064417490830613,-0.0294334309188394,-0.0233971559065689,0 days 00:03:40.999149
16,ExpGrad.01,1,0.598787,-0.0027330228877452,-0.0179295009460369,-0.0179295009460369,-0.0068005149452604,0.0,0 days 00:04:00.478485
17,RedGrid25,1,0.705679,-0.062800442213859,-0.1341973630670337,-0.1341973630670337,-0.0650233108722523,-0.0593347869476074,0 days 00:13:56.180760
18,RedGrid5,1,0.70022,-0.0066900757259806,-0.0994467102834354,-0.0994467102834354,0.0,-0.0075047106378579,0 days 00:13:46.012933
19,RedGrid75,1,0.70022,-0.0066900757259806,-0.0994467102834354,-0.0994467102834354,0.0,-0.0075047106378579,0 days 00:13:49.459253
20,ExpGrad.1,2,0.716865,-0.0632611564033095,-0.0902207363603622,-0.0902207363603622,-0.0613481793329412,-0.0402797197867603,0 days 00:01:48.817397
21,ExpGrad.01,2,0.632347,-0.0113456414592375,-0.0168619894416457,-0.0130837360139089,-0.0168619894416457,-0.006107397731047,0 days 00:02:14.540233
22,RedGrid25,2,0.718869,-0.0826337795940118,-0.0930402294990192,-0.0886831946815313,-0.0930402294990192,-0.0702592926981183,0 days 00:08:32.022425
23,RedGrid5,2,0.696571,-0.042737949137025,-0.0946773667500703,-0.0946773667500703,-0.0143030517760573,-0.0149484169856826,0 days 00:08:33.942373
24,RedGrid75,2,0.627735,-0.0193679099157732,-0.0315381653612214,-0.0034752484043674,-0.0225632873878887,-0.0315381653612214,0 days 00:08:23.629303
25,ExpGrad.1,1,0.712164,-0.0293380202834899,-0.1108483008574632,-0.1108483008574632,-0.0229123419220088,-0.0303772498361876,0 days 00:04:05.433377
26,ExpGrad.01,1,0.606055,-0.0002116884658785,-0.0108293662148877,-0.0108293662148877,0.0,0.0,0 days 00:06:48.910960
27,RedGrid25,1,0.699118,-0.0018370397566535,-0.0939776108894048,-0.0939776108894048,0.0,0.0,0 days 00:15:22.061400
