,method,k_set,accuracy,mean_unfairness,max_unfairness,A_unfairness,B_unfairness,C_unfairness,runtime
0,ExpGrad.1,2,0.716725,-0.0642868848791558,-0.1017356807746834,-0.1017356807746834,-0.0331460150418623,-0.0518063498095731,0 days 00:02:31.143510
1,ExpGrad.01,2,0.616629,-0.0118139218522784,-0.0154420166971554,-0.0079540131858574,-0.011478635958773,-0.0154420166971554,0 days 00:05:10.704810
2,RedGrid25,2,0.715331,-0.0711824391589758,-0.0958125237517666,-0.0958125237517666,-0.072458087717843,-0.0486021589996316,0 days 00:14:07.443625
3,RedGrid5,2,0.668859,-0.0198442270929229,-0.0379512933955534,-0.0379512933955534,-0.0256931572120339,0.0,0 days 00:13:50.927884
4,RedGrid75,2,0.668859,-0.0198442270929229,-0.0379512933955534,-0.0379512933955534,-0.0256931572120339,0.0,0 days 00:13:27.386961
5,ExpGrad.1,2,0.691383,-0.0363642566053659,-0.0648792420944031,-0.0648792420944031,-0.0258027721535632,-0.0182255568054627,0 days 00:02:17.931103
6,ExpGrad.01,2,0.597025,-0.004592318174121,-0.0100515621108739,-0.004858640473812,-0.0100515621108739,-0.00073505152815,0 days 00:02:51.189059
7,RedGrid25,2,0.729142,-0.0916510700647695,-0.1175700968826678,-0.1175700968826678,-0.0963612603089049,-0.0656683753013998,0 days 00:10:58.094349
8,RedGrid5,2,0.691841,-0.0618003890684916,-0.0672432637470907,-0.0655004077586832,-0.0672432637470907,-0.0549258965836346,0 days 00:10:58.541002
9,RedGrid75,2,0.691841,-0.0618003890684916,-0.0672432637470907,-0.0655004077586832,-0.0672432637470907,-0.0549258965836346,0 days 00:10:59.723345
10,ExpGrad.1,0,0.70688,-0.0843912824934704,-0.1016105410362352,-0.1016105410362352,-0.0750261523074011,-0.0744706987629155,0 days 00:03:31.993866
11,ExpGrad.01,0,0.686256,-0.0131481734484513,-0.0183727830853285,-0.0183727830853285,-0.0109708682049538,-0.0097702025193792,0 days 00:05:06.451355
12,RedGrid25,0,0.690887,-0.0234666009899049,-0.0290906907142894,-0.0290906907142894,-0.0090317940015942,-0.0265272556328955,0 days 00:12:43.571403
13,RedGrid5,0,0.690887,-0.0234666009899049,-0.0290906907142894,-0.0290906907142894,-0.0090317940015942,-0.0265272556328955,0 days 00:12:39.512636
14,RedGrid75,0,0.690887,-0.0234666009899049,-0.0290906907142894,-0.0290906907142894,-0.0090317940015942,-0.0265272556328955,0 days 00:13:35.053225
