,method,k_set,accuracy,mean_unfairness,max_unfairness,A_unfairness,B_unfairness,C_unfairness,runtime
0,ExpGrad.1,2,0.709964,-0.0537952855837612,-0.0810113764216919,-0.0810113764216919,-0.0487027951661515,-0.0329849473495597,0 days 00:02:38.490479
1,ExpGrad.01,2,0.607149,-0.0022812721022277,-0.0058168367072335,0.0,0.0,-0.0058168367072335,0 days 00:03:35.260648
2,RedGrid25,2,0.719574,-0.0737803186783583,-0.0984982712613907,-0.0984982712613907,-0.0877358832048709,-0.0425904301842883,0 days 00:12:53.756386
3,RedGrid5,2,0.719574,-0.0737803186783583,-0.0984982712613907,-0.0984982712613907,-0.0877358832048709,-0.0425904301842883,0 days 00:12:43.778713
4,RedGrid75,2,0.701254,-0.0560671366575538,-0.0846773962960055,-0.0700280496792678,-0.0846773962960055,-0.0247407501410522,0 days 00:12:27.775102
5,ExpGrad.1,2,0.71124,-0.0548729219246437,-0.0911284065759235,-0.0911284065759235,-0.0589785671982863,-0.0200628606026513,0 days 00:03:21.116616
6,ExpGrad.01,2,0.607685,-0.0055977726720388,-0.0124689173141425,-0.0067586286875929,-0.0124689173141425,0.0,0 days 00:03:08.421142
7,RedGrid25,2,0.713597,-0.0665127653065206,-0.1042673026977853,-0.1042673026977853,-0.0969518228528294,-0.0128595154165907,0 days 00:13:02.213864
8,RedGrid5,2,0.701067,-0.0520063909228061,-0.0890317488120723,-0.0720820178109338,-0.0890317488120723,-0.0096143530883271,0 days 00:13:00.100811
9,RedGrid75,2,0.66985,-0.0210895696947472,-0.0607799455532948,-0.0607799455532948,0.0,0.0,0 days 00:13:01.539541
10,ExpGrad.1,0,0.706376,-0.0826605209910595,-0.0999769754450166,-0.0999769754450166,-0.0747676451090622,-0.0718377195300916,0 days 00:03:06.766572
11,ExpGrad.01,0,0.688902,-0.0162026443900449,-0.021654529184471,-0.021654529184471,-0.0148355305901067,-0.0121771605195126,0 days 00:05:10.277460
12,RedGrid25,0,0.690636,-0.0261437216620673,-0.0315399934335997,-0.0315399934335997,-0.0128349523311647,-0.0287693592095552,0 days 00:13:04.947179
13,RedGrid5,0,0.690636,-0.0261437216620673,-0.0315399934335997,-0.0315399934335997,-0.0128349523311647,-0.0287693592095552,0 days 00:13:14.714874
14,RedGrid75,0,0.690636,-0.0261437216620673,-0.0315399934335997,-0.0315399934335997,-0.0128349523311647,-0.0287693592095552,0 days 00:13:02.411126
15,ExpGrad.1,1,0.710346,-0.0303632143879154,-0.1076557243266213,-0.1076557243266213,-0.0262347392793635,-0.030205854095044,0 days 00:02:07.206149
16,ExpGrad.01,1,0.609131,-0.0035118592591221,-0.0168882445473828,-0.0168882445473828,0.0,-0.0050314194805374,0 days 00:03:43.460456
17,RedGrid25,1,0.697979,-0.0018706347495195,-0.09388615145879,-0.09388615145879,0.0,0.0,0 days 00:08:58.762748
18,RedGrid5,1,0.697979,-0.0018706347495195,-0.09388615145879,-0.09388615145879,0.0,0.0,0 days 00:09:06.358653
19,RedGrid75,1,0.697979,-0.0018706347495195,-0.09388615145879,-0.09388615145879,0.0,0.0,0 days 00:09:27.715027
20,ExpGrad.1,2,0.712385,-0.0606795557261114,-0.0902371203991739,-0.0902371203991739,-0.0563011905111237,-0.0374731379203134,0 days 00:02:45.522847
21,ExpGrad.01,2,0.622722,-0.0073591269492173,-0.0111295815936765,-0.0111295815936765,-0.0092371354078763,-0.0027896476700898,0 days 00:04:17.121576
22,RedGrid25,2,0.688482,-0.0335919934779012,-0.0572273602770573,-0.0539577180888654,-0.0572273602770573,0.0,0 days 00:13:08.611114
23,RedGrid5,2,0.688482,-0.0335919934779012,-0.0572273602770573,-0.0539577180888654,-0.0572273602770573,0.0,0 days 00:13:09.534597
24,RedGrid75,2,0.656677,-0.0198674606619616,-0.0412893527474935,-0.0263450431700976,-0.0412893527474935,0.0,0 days 00:12:28.452345
25,ExpGrad.1,1,0.711217,-0.0464138838187244,-0.1196419151569329,-0.1196419151569329,-0.049446393603805,-0.0424974831826661,0 days 00:02:59.087240
26,ExpGrad.01,1,0.582997,-0.0034206027322338,-0.0116190354198362,-0.0116190354198362,0.0,-0.0050637017399254,0 days 00:02:45.716526
