l1,l2,l3,alpha,grp_synth,accuracy,sensi,speci,mean_unfairness,mean_unfairness_unwt,max_unfairness,A_unfairness,B_unfairness,C_unfairness,min_egfr,mean_diastolic,mean_systolic,max_ha1c,mean_ha1c,max_bili,mean_bili,female,age,htn_emerg,dm2,kidstone,obstruction,glomerulonephritis,proteinuria,pyelonephritis,mean_ha1c_missing,mean_bili_missing,min_egfr_missing,Intercept
0.0,0.0,0.0,0,na,0.9504451038575668,0.36086956521739133,0.9756188118811882,-0.08518047209014949,-0.1250392459843027,-0.244175945668483,-0.06419909381663114,-0.244175945668483,-0.0667426984677939,-3.781511560746552,-0.3738718119278886,0.34537395950563893,0.2032789986258394,-0.4650804596058864,-0.017328176308363134,-0.08910876561779223,-0.13873946310503035,-0.444961770447386,0.045837941080718876,0.1740596468170987,-0.1121446908147865,-0.013556441365789922,0.033020782398876194,0.05060519228355045,0.029266510518605533,-0.21061471382326546,-0.16517113352261978,-2.3813322556041823,-4.196213482685665
0.0035664147265592507,0.005179474872164113,0.012973865679337917,0.1,weighted,0.9483086053412463,0.3652173913043478,0.9732054455445545,-0.02170707881121532,-0.06344928795177553,-0.1900813393350707,-0.00026652452025588413,-0.1900813393350707,0.0,-3.0822734188808996,-0.4322637281496133,0.45458151441451394,0.20779036099662848,-0.3567118910735216,-0.5216437647952188,0.2611519767874417,-0.07864936517725685,-0.5806470609109056,0.05577066935300799,0.3075537552343551,-0.04980575158859577,-0.04997403844138865,-0.010343526437606927,0.05842201471357147,0.027668743706021983,-0.0492220358006512,-0.18112265844187186,-1.9309776074874252,-4.07297853773542
0.0035664147265592507,0.005179474872164113,0.012973865679337917,0.1,unweighted,0.9483086053412463,0.3652173913043478,0.9732054455445545,-0.02170707881121532,-0.06344928795177553,-0.1900813393350707,-0.00026652452025588413,-0.1900813393350707,0.0,-3.0822734188808996,-0.4322637281496133,0.45458151441451394,0.20779036099662848,-0.3567118910735216,-0.5216437647952188,0.2611519767874417,-0.07864936517725685,-0.5806470609109056,0.05577066935300799,0.3075537552343551,-0.04980575158859577,-0.04997403844138865,-0.010343526437606927,0.05842201471357147,0.027668743706021983,-0.0492220358006512,-0.18112265844187186,-1.9309776074874252,-4.07297853773542
0.00024162220692891182,0.02601019311024335,0.0002560563313723923,0.1,max,0.9467062314540059,0.2942028985507246,0.9745668316831683,-0.07703821787799982,-0.10137008659024309,-0.17381347232093503,-0.06414912046908317,-0.17381347232093503,-0.06614766698071106,-1.8908201199185295,-0.4471534538447992,0.33430276997155334,-0.06703478261552442,-0.2776204761919794,-3.2102305141743805,1.523582949319825,-0.18300486988808007,-0.303397807665379,0.03709297273258282,0.26126030198183686,0.02731060873996105,-0.09007654016914936,-0.031048022278823646,0.13510977239779337,-0.029325021414203192,0.0368985444585991,-0.3242898110456157,-1.5794241108570888,-3.670738866216196
0.0035664147265592507,0.005179474872164113,0.012973865679337917,0.2,weighted,0.9483086053412463,0.3652173913043478,0.9732054455445545,-0.02170707881121532,-0.06344928795177553,-0.1900813393350707,-0.00026652452025588413,-0.1900813393350707,0.0,-3.0822734188808996,-0.4322637281496133,0.45458151441451394,0.20779036099662848,-0.3567118910735216,-0.5216437647952188,0.2611519767874417,-0.07864936517725685,-0.5806470609109056,0.05577066935300799,0.3075537552343551,-0.04980575158859577,-0.04997403844138865,-0.010343526437606927,0.05842201471357147,0.027668743706021983,-0.0492220358006512,-0.18112265844187186,-1.9309776074874252,-4.07297853773542
0.0009090594340289144,0.00015616919388514123,0.034676651512195684,0.2,unweighted,0.9341839762611276,0.3753623188405797,0.9580445544554456,-0.0262116286499175,-0.07712758956540051,-0.23138276869620156,0.0,-0.23138276869620156,0.0,-3.1532545032761288,-0.4954307200959004,0.5263255080252078,0.36996881326050735,-0.34996363572958417,-0.27560042923177586,0.12276313004829664,-0.033948623743022696,-0.7458505718293617,0.052403034214600276,0.4112025194020473,-0.04889614187967351,-0.14752645656334373,-0.08245275350669244,0.04440727494320053,0.04352901264088069,0.0010215365791960414,-0.16935625866203646,-1.7130435067706675,-4.220457988309544
0.002013434190071446,0.03632910837740931,0.00033981820960950665,0.2,max,0.9377448071216617,0.30869565217391304,0.9646039603960396,-0.07633441047355607,-0.0868677388711665,-0.1125325752191424,-0.0691297974413646,-0.1125325752191424,-0.0789408439529925,-1.602747684456213,-0.45125077198531643,0.31920514819022505,-0.11040755498117936,-0.2438997862163706,-3.9114276166356454,1.8506087093602737,-0.1865067720588026,-0.26217806281968387,0.030551560194531924,0.2703487017338449,0.03872224617349918,-0.15515940102493647,-0.05786627063194769,0.1427777687089998,-0.044502427079611814,0.061036670590156245,-0.3534038814243587,-1.406719305383749,-3.4427070181304575
0.0005692918578948272,0.0008670976994133029,0.04913845468816755,0.3,weighted,0.9186943620178042,0.3869565217391304,0.9413985148514852,-0.018786491523831654,-0.0552791597567717,-0.1658374792703151,0.0,-0.1658374792703151,0.0,-2.695457093170556,-0.5046437582174859,0.5197849174972948,0.35667278435212424,-0.2827211021439893,-0.30048652349801186,0.15173564802084827,-0.034882742435311025,-0.7412829966238498,0.049253269420067435,0.41739841891835616,-0.0376763802570119,-0.15667152115109872,-0.10134928546852084,0.04787866008971894,0.04193527617325596,0.056070240697489795,-0.16248901502940394,-1.4207678777698223,-3.8796218184607163
0.0009090594340289144,0.00015616919388514123,0.034676651512195684,0.3,unweighted,0.9341839762611276,0.3753623188405797,0.9580445544554456,-0.0262116286499175,-0.07712758956540051,-0.23138276869620156,0.0,-0.23138276869620156,0.0,-3.1532545032761288,-0.4954307200959004,0.5263255080252078,0.36996881326050735,-0.34996363572958417,-0.27560042923177586,0.12276313004829664,-0.033948623743022696,-0.7458505718293617,0.052403034214600276,0.4112025194020473,-0.04889614187967351,-0.14752645656334373,-0.08245275350669244,0.04440727494320053,0.04352901264088069,0.0010215365791960414,-0.16935625866203646,-1.7130435067706675,-4.220457988309544
0.002013434190071446,0.03632910837740931,0.00033981820960950665,0.3,max,0.9377448071216617,0.30869565217391304,0.9646039603960396,-0.07633441047355607,-0.0868677388711665,-0.1125325752191424,-0.0691297974413646,-0.1125325752191424,-0.0789408439529925,-1.602747684456213,-0.45125077198531643,0.31920514819022505,-0.11040755498117936,-0.2438997862163706,-3.9114276166356454,1.8506087093602737,-0.1865067720588026,-0.26217806281968387,0.030551560194531924,0.2703487017338449,0.03872224617349918,-0.15515940102493647,-0.05786627063194769,0.1427777687089998,-0.044502427079611814,0.061036670590156245,-0.3534038814243587,-1.406719305383749,-3.4427070181304575
